data de publicação,UF,Unidade da Federação,Tipo,dado,escala,sexo,Ano epidemiológico,Semana epidemiológica,Ano e semana epidemiológica,Situação do dado,Casos semanais reportados até a última atualização,Idade desconhecida,< 2 anos,0-4 anos,10-19 anos,2-4 anos,20-29 anos,30-39 anos,40-49 anos,5-9 anos,50-59 anos,60+ anos,Testes positivos,Testes negativos,Casos aguardando resultado,Casos sem informação laboratorial,Casos sem teste laboratorial,Resultado inconclusivo,Influenza A,Influenza B,SARS-CoV-2,Vírus sincicial respiratório (VSR),Parainfluenza 1,Parainfluenza 2,Parainfluenza 3,Adenovirus
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,1,2020W01,Dado estável. Sujeito a pequenas alterações.,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,2,2020W02,Dado estável. Sujeito a pequenas alterações.,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,3,2020W03,Dado estável. Sujeito a pequenas alterações.,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,4,2020W04,Dado estável. Sujeito a pequenas alterações.,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,5,2020W05,Dado estável. Sujeito a pequenas alterações.,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,6,2020W06,Dado estável. Sujeito a pequenas alterações.,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,7,2020W07,Dado estável. Sujeito a pequenas alterações.,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,8,2020W08,Dado estável. Sujeito a pequenas alterações.,6.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,9,2020W09,Dado estável. Sujeito a pequenas alterações.,13.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,10,2020W10,Dado estável. Sujeito a pequenas alterações.,88.0,0.0,0.0,,1.0,0.0,2.0,6.0,6.0,0.0,6.0,67.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,1.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,11,2020W11,Dado estável. Sujeito a pequenas alterações.,288.0,0.0,1.0,,2.0,0.0,2.0,8.0,18.0,0.0,31.0,226.0,288.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,288.0,1.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,12,2020W12,Dado estável. Sujeito a pequenas alterações.,932.0,0.0,3.0,,2.0,0.0,14.0,47.0,83.0,0.0,123.0,660.0,932.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,932.0,0.0,1.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,13,2020W13,Dado estável. Sujeito a pequenas alterações.,1523.0,0.0,2.0,,5.0,0.0,16.0,63.0,143.0,1.0,260.0,1033.0,1523.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1523.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,14,2020W14,Dado estável. Sujeito a pequenas alterações.,2307.0,0.0,5.0,,6.0,3.0,23.0,91.0,219.0,0.0,368.0,1592.0,2307.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2307.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,15,2020W15,Dado estável. Sujeito a pequenas alterações.,3324.0,0.0,11.0,,4.0,0.0,40.0,136.0,319.0,1.0,508.0,2305.0,3324.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3324.0,1.0,0.0,0.0,0.0,1.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,16,2020W16,Dado estável. Sujeito a pequenas alterações.,4887.0,0.0,13.0,,15.0,2.0,45.0,205.0,406.0,1.0,764.0,3436.0,4887.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4887.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,17,2020W17,Dado estável. Sujeito a pequenas alterações.,6575.0,0.0,10.0,,27.0,8.0,92.0,263.0,544.0,4.0,1001.0,4626.0,6575.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6575.0,2.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,18,2020W18,Dado estável. Sujeito a pequenas alterações.,8074.0,0.0,29.0,,27.0,5.0,102.0,252.0,611.0,4.0,1152.0,5892.0,8074.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8074.0,6.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,19,2020W19,Dado estável. Sujeito a pequenas alterações.,7861.0,0.0,19.0,,23.0,2.0,95.0,261.0,567.0,5.0,1043.0,5846.0,7861.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7861.0,2.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,20,2020W20,Dado estável. Sujeito a pequenas alterações.,8082.0,0.0,24.0,,22.0,3.0,74.0,273.0,533.0,11.0,1040.0,6102.0,8082.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8082.0,5.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,21,2020W21,Dado estável. Sujeito a pequenas alterações.,6983.0,0.0,17.0,,20.0,8.0,72.0,216.0,474.0,1.0,908.0,5267.0,6983.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6983.0,5.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,22,2020W22,Dado estável. Sujeito a pequenas alterações.,6160.0,0.0,11.0,,17.0,4.0,70.0,207.0,404.0,8.0,808.0,4631.0,6160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6160.0,8.0,1.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,23,2020W23,Dado estável. Sujeito a pequenas alterações.,6793.0,0.0,20.0,,14.0,0.0,83.0,224.0,493.0,6.0,897.0,5056.0,6793.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6793.0,10.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,24,2020W24,Dado estável. Sujeito a pequenas alterações.,6152.0,0.0,15.0,,17.0,2.0,64.0,181.0,429.0,6.0,787.0,4651.0,6152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6152.0,8.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,25,2020W25,Dado estável. Sujeito a pequenas alterações.,6627.0,0.0,10.0,,22.0,1.0,82.0,215.0,472.0,1.0,842.0,4982.0,6627.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6627.0,4.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,26,2020W26,Dado estável. Sujeito a pequenas alterações.,5931.0,0.0,19.0,,16.0,2.0,60.0,193.0,388.0,1.0,782.0,4470.0,5931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5931.0,4.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,27,2020W27,Dado estável. Sujeito a pequenas alterações.,6872.0,0.0,12.0,,18.0,7.0,61.0,226.0,462.0,4.0,856.0,5226.0,6872.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6872.0,6.0,2.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,28,2020W28,Dado estável. Sujeito a pequenas alterações.,6758.0,0.0,11.0,,10.0,0.0,55.0,197.0,445.0,3.0,877.0,5160.0,6758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6758.0,6.0,1.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,29,2020W29,Dado estável. Sujeito a pequenas alterações.,6104.0,0.0,20.0,,11.0,1.0,45.0,169.0,402.0,1.0,723.0,4732.0,6104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6104.0,1.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,30,2020W30,Dado estável. Sujeito a pequenas alterações.,5932.0,0.0,11.0,,11.0,0.0,66.0,160.0,357.0,0.0,741.0,4586.0,5932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5932.0,1.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,31,2020W31,Dado estável. Sujeito a pequenas alterações.,5361.0,0.0,17.0,,17.0,2.0,45.0,147.0,340.0,2.0,694.0,4097.0,5361.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5361.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,32,2020W32,Dado estável. Sujeito a pequenas alterações.,4734.0,0.0,11.0,,7.0,1.0,47.0,125.0,278.0,1.0,583.0,3681.0,4734.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4734.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,33,2020W33,Dado estável. Sujeito a pequenas alterações.,4721.0,0.0,8.0,,5.0,0.0,49.0,117.0,265.0,4.0,563.0,3710.0,4721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4721.0,1.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,34,2020W34,Dado estável. Sujeito a pequenas alterações.,4148.0,0.0,7.0,,10.0,1.0,38.0,103.0,252.0,3.0,471.0,3263.0,4148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4148.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obitocovid,casos,Total,2020,35,2020W35,Dado estável. Sujeito a pequenas alterações.,3595.0,0.0,5.0,,8.0,1.0,33.0,76.0,188.0,3.0,425.0,2856.0,3595.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3595.0,1.0,0.0,0.0,0.0,0.0
