Year,Cases,Deaths,Population
1990,40916,8,149352145
1991,97397,0,151976577
1992,3501,0,154564278
1993,6915,0,157132682
1994,54453,11,159705123
1995,124887,2,162296612
1996,175751,2,164913306
1997,254942,5,167545164
1998,535178,10,170170640
1999,204131,3,172759243
2000,231412,3,175287587
2001,411709,29,177750670
2002,780644,145,180151021
2003,340476,38,182482149
2004,112928,3,184738458
2005,203789,43,186917361
2006,346550,67,189012412
2007,559954,158,191026637
2008,734384,212,192979029
2009,528883,298,194895996
2010,1004392,673,196796269
2011,764032,482,198686688
2012,593093,284,200560983
2013,1468873,545,202408632
2014,591080,410,204213133
