"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"1994";"42,76";"20,53";"20,15";"64,06";"32,44";"0";"0";"27,43";"62,22";"49,20";"41,34";"0";"33,46";"0";"0";"43,03";"0";"55,22";"0";"0";"0";"51,60";"0";"0";"31,76";"22,37";"0";"38,27"
"1995";"50,80";"46,61";"35,82";"88,84";"40,11";"34,68";"0";"35,69";"48,16";"50,06";"49,23";"22,82";"78,01";"28,35";"67,66";"28,23";"0";"74,91";"43,29";"45,01";"35,30";"55,47";"65,25";"0";"37,67";"69,81";"0,34";"45,71"
"1996";"76,05";"36,59";"49,88";"89,18";"51,26";"44,75";"65,44";"41,05";"46,45";"60,28";"56,57";"45,23";"72,86";"46,58";"67,28";"38,07";"0";"75,62";"36,26";"44,86";"51,84";"48,53";"58,90";"39,02";"37,44";"66,93";"55,99";"50,01"
"1997";"83,33";"67,56";"72,01";"80,26";"67,09";"52,06";"56,24";"60,33";"57,65";"74,00";"61,55";"63,28";"82,44";"50,95";"73,92";"59,22";"62,60";"77,78";"69,12";"74,70";"76,53";"73,29";"65,07";"70,62";"74,22";"70,07";"64,17";"68,95"
"1998";"93,26";"66,38";"70,62";"97,45";"67,46";"73,77";"86,73";"68,09";"64,59";"64,09";"58,99";"61,39";"81,41";"54,52";"71,66";"64,03";"62,43";"89,21";"73,78";"79,73";"63,40";"71,64";"63,25";"75,01";"78,08";"73,23";"84,43";"70,65"
"1999";"82,31";"85,61";"72,19";"93,76";"82,95";"83,48";"87,82";"81,10";"81,53";"88,63";"78,80";"81,68";"87,47";"78,30";"98,68";"82,45";"90,14";"94,67";"91,77";"92,11";"75,09";"82,85";"85,90";"92,05";"84,87";"87,36";"86,24";"86,57"
"2000";"79,59";"66,79";"70,91";"83,94";"77,23";"70,61";"80,63";"74,81";"78,74";"78,82";"70,21";"72,88";"76,93";"72,36";"77,96";"74,08";"79,70";"79,36";"75,16";"76,19";"78,72";"75,49";"71,91";"85,08";"84,34";"82,76";"73,49";"76,50"
"2001";"83,70";"76,77";"70,68";"72,67";"83,43";"101,50";"87,42";"79,09";"81,18";"83,18";"73,12";"80,28";"76,73";"74,45";"79,01";"81,56";"90,28";"80,75";"75,02";"76,51";"81,01";"78,11";"75,60";"88,66";"85,97";"83,87";"71,77";"79,85"
"2002";"78,18";"81,66";"70,98";"78,33";"82,66";"75,61";"80,88";"76,93";"79,67";"78,97";"73,20";"76,52";"77,76";"76,03";"78,28";"76,22";"75,07";"78,05";"74,66";"73,30";"77,26";"74,59";"74,07";"80,84";"81,93";"82,66";"69,15";"76,09"
"2003";"72,30";"77,54";"64,77";"72,99";"80,50";"76,13";"75,39";"75,58";"74,41";"73,21";"71,76";"71,43";"77,22";"71,21";"76,06";"72,90";"69,40";"77,65";"71,50";"71,29";"73,48";"73,68";"71,71";"77,14";"77,24";"79,45";"70,10";"72,97"
