"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"105,08";"80,05";"64,10";"63,87";"91,79";"90,34";"92,44";"97,25";"62,26";"92,11";"73,77";"90,84";"91,14";"82,41";"103,31";"85,03";"74,13";"90,99";"36,97";"81,36";"86,23";"25,12";"51,21";"45,32";"77,56";"78,44";"80,97"
"12 Acre";"105,47";"64,43";"51,53";"53,25";"75,18";"66,12";"67,26";"88,52";"42,08";"76,57";"51,74";"61,27";"64,04";"62,76";"88,89";"56,22";"50,92";"71,14";"28,56";"60,90";"69,04";"11,12";"29,89";"24,60";"69,33";"73,78";"70,13"
"13 Amazonas";"108,36";"78,71";"51,81";"58,71";"73,11";"74,38";"74,35";"84,03";"57,79";"80,33";"64,13";"77,69";"80,13";"71,89";"87,51";"70,69";"62,33";"74,28";"34,42";"69,15";"72,68";"19,29";"45,93";"43,80";"65,70";"69,99";"71,11"
"14 Roraima";"114,05";"85,45";"58,56";"64,64";"81,37";"77,55";"81,31";"90,80";"66,88";"83,59";"66,93";"75,09";"81,85";"79,92";"89,71";"76,95";"70,67";"84,19";"36,76";"76,77";"89,77";"26,70";"43,55";"42,55";"68,77";"77,16";"77,32"
"15 Pará";"110,26";"63,81";"48,80";"48,73";"71,00";"61,64";"63,64";"88,10";"30,05";"74,90";"50,99";"64,80";"67,03";"58,53";"94,74";"55,51";"47,73";"81,47";"22,92";"58,33";"80,50";"22,59";"31,68";"25,45";"71,96";"82,34";"74,62"
"16 Amapá";"113,74";"73,33";"53,81";"61,44";"78,90";"64,05";"67,87";"87,14";"25,57";"78,00";"58,39";"66,13";"69,02";"51,60";"90,56";"66,15";"59,10";"84,96";"27,91";"60,98";"82,14";"29,29";"42,84";"32,21";"69,41";"75,22";"72,99"
"17 Tocantins";"106,52";"79,83";"61,70";"57,96";"90,40";"82,64";"87,77";"98,26";"64,60";"87,84";"68,69";"84,73";"86,45";"78,18";"90,39";"76,62";"65,20";"89,12";"36,91";"76,07";"88,22";"25,00";"33,24";"37,98";"74,48";"79,24";"79,07"
"21 Maranhão";"112,92";"71,50";"52,75";"50,19";"67,35";"69,82";"70,05";"84,74";"35,91";"79,22";"56,28";"70,80";"73,11";"67,35";"101,37";"59,00";"36,05";"77,57";"24,23";"66,72";"78,69";"14,44";"40,35";"34,46";"72,37";"79,04";"74,39"
"22 Piauí";"102,29";"69,72";"56,37";"55,08";"67,45";"70,70";"75,90";"88,27";"51,59";"63,06";"61,80";"78,54";"80,54";"68,76";"99,07";"65,46";"31,21";"83,86";"31,18";"71,07";"76,87";"24,43";"35,40";"31,55";"68,87";"77,51";"73,82"
"23 Ceará";"110,32";"76,21";"64,53";"63,61";"77,19";"88,53";"90,85";"103,15";"64,26";"2,51";"75,60";"94,52";"96,62";"89,64";"113,28";"87,19";"51,72";"93,03";"36,64";"85,18";"98,09";"24,79";"63,15";"49,00";"74,60";"77,77";"77,17"
