"Município";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"310010 ABADIA DOS DOURADOS";"0";"32,43";"50,45";"100,00";"85,71";"50,42";"10,92";"67,78";"81,93";"95,40";"97,50";"112,33";"110,77";"104,62";"123,08";"98,46";"79,22";"66,18";"94,74";"91,55";"95,77";"113,56";"155,77";"77,08";"76,44"
"310020 ABAETE";"0";"46,44";"8,66";"39,64";"87,32";"75,64";"11,65";"164,66";"115,46";"81,63";"124,82";"99,62";"114,83";"102,54";"87,71";"88,14";"91,96";"97,90";"83,58";"82,31";"79,23";"111,27";"94,67";"58,48";"74,02"
"310030 ABRE CAMPO";"0";"0";"60,27";"52,94";"91,74";"62,81";"7,85";"111,01";"79,83";"109,64";"89,53";"96,74";"115,15";"98,79";"84,85";"78,79";"95,97";"12,20";"83,01";"66,46";"70,89";"89,33";"114,07";"94,35";"70,48"
"310040 ACAIACA";"0";"0";"52,94";"0";"67,27";"142,86";"1,79";"55,10";"172,88";"87,50";"61,29";"180,00";"72,86";"80,00";"78,57";"68,57";"100,00";"78,72";"113,16";"47,37";"118,42";"107,32";"122,22";"106,06";"74,60"
"310050 ACUCENA";"0";"0";"41,74";"17,15";"58,11";"66,22";"13,57";"81,54";"105,30";"100,00";"112,50";"95,97";"127,84";"108,25";"111,34";"91,75";"103,54";"126,88";"116,82";"118,75";"118,75";"104,59";"101,77";"72,12";"68,56"
"310060 AGUA BOA";"0";"0";"3,73";"83,78";"64,41";"43,42";"28,93";"68,57";"100,77";"112,77";"124,37";"77,68";"130,77";"103,85";"104,40";"82,97";"89,69";"104,47";"76,17";"117,33";"94,67";"117,24";"83,16";"73,56";"64,10"
"310070 AGUA COMPRIDA";"0";"52,63";"31,58";"66,67";"90,00";"51,72";"58,62";"123,81";"164,29";"160,00";"122,22";"126,67";"100,00";"76,47";"147,06";"105,88";"115,38";"82,61";"193,75";"128,57";"95,24";"168,75";"160,00";"27,78";"89,67"
"310080 AGUANIL";"0";"51,56";"93,85";"103,08";"118,64";"118,64";"20,00";"162,50";"120,93";"158,06";"125,71";"157,69";"110,00";"105,00";"105,00";"112,50";"132,43";"142,00";"64,18";"84,91";"77,36";"100,00";"102,27";"67,50";"94,59"
"310090 AGUAS FORMOSAS";"0";"0";"42,57";"34,59";"83,08";"77,06";"5,49";"79,28";"81,82";"77,12";"89,90";"63,64";"107,66";"95,26";"120,44";"115,69";"114,39";"71,79";"96,97";"87,40";"80,53";"112,45";"91,34";"44,21";"71,47"
"310100 AGUAS VERMELHAS";"0";"0";"0";"51,75";"62,12";"71,16";"19,19";"107,75";"111,55";"214,49";"129,11";"208,40";"225,00";"159,38";"167,71";"227,08";"85,91";"104,76";"94,57";"100,00";"111,11";"106,67";"89,60";"80,50";"89,48"
"310110 AIMORES";"0";"0";"79,25";"16,20";"88,33";"89,89";"21,93";"85,36";"108,99";"114,54";"127,36";"127,48";"122,18";"113,65";"110,92";"104,10";"114,83";"106,33";"108,16";"63,64";"78,06";"94,17";"98,43";"84,25";"82,59"
"310120 AIURUOCA";"0";"0";"24,27";"0";"98,98";"46,94";"37,11";"76,09";"107,04";"118,46";"76,81";"106,67";"98,21";"89,29";"85,71";"83,93";"109,09";"98,15";"66,10";"88,37";"104,65";"84,44";"83,02";"85,71";"65,34"
"310130 ALAGOA";"0";"0";"55,56";"42,22";"66,67";"53,70";"14,81";"89,66";"108,33";"117,14";"114,29";"113,04";"64,10";"89,74";"71,79";"43,59";"121,05";"200,00";"114,29";"64,29";"100,00";"155,56";"220,00";"111,11";"73,34"
"310140 ALBERTINA";"0";"0";"53,85";"10,61";"93,62";"68,09";"37,50";"240,00";"164,29";"148,15";"148,00";"137,50";"116,67";"166,67";"153,33";"113,33";"140,91";"83,33";"66,67";"95,45";"213,64";"96,77";"134,78";"152,38";"87,03"
"310150 ALEM PARAIBA";"0";"1,34";"9,65";"9,39";"38,19";"63,37";"4,36";"66,61";"110,95";"116,07";"179,86";"92,84";"115,16";"121,27";"111,00";"105,13";"111,75";"81,14";"72,46";"79,61";"71,05";"78,59";"80,10";"61,93";"67,59"
"310160 ALFENAS";"0";"0";"46,24";"42,46";"90,06";"64,36";"17,20";"69,94";"81,89";"85,57";"87,09";"86,04";"94,98";"77,58";"87,51";"86,80";"92,70";"85,52";"113,58";"88,38";"90,43";"85,08";"73,35";"55,41";"69,89"
"310163 ALFREDO VASCONCELOS";"0";"0";"0";"0";"89,69";"68,04";"54,08";"92,00";"67,92";"116,09";"131,88";"67,68";"101,23";"88,89";"69,14";"79,01";"150,00";"173,42";"82,56";"101,39";"130,56";"69,62";"136,73";"153,33";"78,60"
"310170 ALMENARA";"0";"0";"0";"34,74";"131,83";"76,20";"8,62";"77,11";"83,80";"110,81";"135,56";"131,66";"191,19";"154,66";"162,44";"145,34";"110,80";"63,62";"78,92";"86,72";"81,73";"66,61";"74,48";"65,46";"81,19"
"310180 ALPERCATA";"0";"0";"58,82";"0";"39,39";"31,82";"15,15";"71,72";"95,51";"67,62";"91,58";"60,82";"120,59";"88,24";"127,94";"98,53";"105,32";"82,65";"123,86";"86,81";"86,81";"85,39";"81,52";"66,67";"65,49"
"310190 ALPINOPOLIS";"0";"59,23";"92,08";"27,57";"68,77";"59,64";"16,72";"64,31";"103,97";"91,01";"100,40";"106,44";"108,37";"99,56";"101,76";"98,24";"128,76";"116,22";"107,66";"96,13";"98,24";"93,61";"90,79";"89,95";"79,55"
"310200 ALTEROSA";"0";"0";"75,00";"78,90";"80,43";"63,29";"23,43";"77,45";"94,00";"100,00";"108,75";"89,20";"120,00";"86,21";"117,93";"109,66";"113,53";"120,61";"130,82";"100,00";"91,76";"116,78";"84,41";"76,02";"81,68"
"310205 ALTO CAPARAO";"0";"0";"46,58";"21,62";"60,91";"28,57";"7,89";"57,81";"83,10";"69,15";"88,16";"74,71";"113,33";"78,67";"82,67";"80,00";"72,53";"107,04";"60,98";"107,35";"120,59";"102,74";"112,99";"73,24";"66,56"
"310210 ALTO RIO DOCE";"0";"0";"0";"0";"4,41";"17,65";"31,37";"132,06";"141,61";"150,39";"156,36";"116,52";"92,86";"100,79";"88,89";"69,05";"89,08";"101,00";"72,73";"110,20";"85,71";"133,71";"96,40";"96,08";"65,13"
"310220 ALVARENGA";"0";"0";"35,56";"0";"24,64";"57,35";"41,79";"139,29";"110,91";"87,10";"121,28";"118,42";"104,62";"121,54";"72,31";"87,69";"104,00";"125,00";"79,69";"136,59";"124,39";"113,46";"166,67";"129,79";"75,35"
"310230 ALVINOPOLIS";"0";"0";"58,33";"35,74";"75,10";"50,00";"17,94";"76,69";"110,88";"92,61";"106,37";"126,95";"110,73";"80,79";"103,95";"91,53";"128,92";"83,54";"108,03";"94,48";"122,76";"109,66";"91,03";"91,61";"74,99"
"310240 ALVORADA DE MINAS";"0";"0";"0";"29,03";"150,72";"85,29";"123,53";"80,33";"60,98";"106,67";"276,00";"127,78";"122,81";"84,21";"96,49";"110,53";"157,41";"101,89";"118,97";"132,65";"120,41";"90,91";"69,49";"46,30";"82,22"
"310250 AMPARO DO SERRA";"0";"0";"30,93";"0";"33,71";"70,45";"21,84";"126,23";"72,84";"123,73";"97,37";"82,69";"153,19";"104,26";"165,96";"127,66";"88,24";"58,33";"75,76";"98,18";"116,36";"103,33";"58,46";"30,00";"66,55"
"310260 ANDRADAS";"0";"0";"64,78";"67,78";"79,50";"87,14";"0,81";"73,61";"87,28";"102,47";"97,99";"104,30";"90,99";"71,40";"95,27";"77,48";"96,17";"77,90";"122,77";"79,60";"92,68";"92,56";"81,26";"76,34";"75,13"
"310270 CACHOEIRA DE PAJEU";"0";"0";"0";"30,09";"77,37";"72,11";"12,70";"96,34";"101,90";"96,38";"101,49";"89,36";"180,90";"98,88";"121,35";"105,62";"107,84";"82,61";"100,00";"97,98";"100,00";"103,37";"129,49";"101,39";"69,76"
"310280 ANDRELANDIA";"0";"0";"46,81";"35,45";"101,12";"93,22";"19,77";"119,86";"123,13";"95,27";"108,05";"110,49";"129,77";"119,85";"119,08";"117,56";"108,51";"158,62";"87,80";"105,36";"93,75";"75,44";"111,71";"44,12";"83,83"
"310285 ANGELANDIA";"0";"38,89";"0";"0";"35,53";"72,34";"50,00";"69,31";"97,54";"131,43";"97,56";"109,22";"125,00";"106,90";"99,14";"101,72";"95,31";"140,19";"98,31";"79,29";"76,43";"92,31";"90,29";"64,89";"72,17"
"310290 ANTONIO CARLOS";"0";"0";"0";"0";"94,22";"72,57";"15,34";"62,18";"94,38";"92,26";"132,46";"94,17";"124,76";"101,90";"119,05";"118,10";"125,96";"120,17";"88,62";"120,00";"93,33";"133,33";"84,62";"73,11";"68,77"
"310300 ANTONIO DIAS";"0";"0";"38,22";"32,14";"43,90";"71,71";"14,08";"97,22";"90,43";"96,72";"106,09";"88,72";"112,60";"103,15";"102,36";"65,35";"90,57";"66,27";"108,93";"118,18";"95,45";"105,15";"96,84";"114,94";"66,71"
"310310 ANTONIO PRADO DE MINAS";"0";"0";"39,13";"17,39";"80,00";"100,00";"57,14";"180,00";"55,56";"85,00";"85,00";"140,00";"214,29";"185,71";"228,57";"200,00";"87,50";"118,18";"80,00";"144,44";"188,89";"80,00";"88,89";"50,00";"82,73"
"310320 ARACAI";"0";"0";"52,94";"23,08";"36,36";"44,44";"15,56";"162,50";"60,00";"100,00";"123,81";"126,09";"105,00";"115,00";"100,00";"105,00";"150,00";"58,33";"150,00";"140,00";"115,00";"110,00";"63,33";"50,00";"65,11"
"310330 ARACITABA";"0";"0";"80,49";"0";"66,67";"115,00";"110,00";"171,43";"226,67";"218,18";"78,95";"131,25";"70,00";"110,00";"60,00";"95,00";"146,15";"300,00";"128,57";"93,33";"133,33";"133,33";"150,00";"141,18";"92,29"
"310340 ARACUAI";"0";"0";"0,88";"37,28";"43,93";"57,66";"83,72";"98,18";"114,53";"166,89";"105,89";"75,80";"86,50";"74,05";"87,55";"87,55";"67,21";"658,33";"88,96";"60,98";"71,64";"82,89";"71,86";"62,94";"68,60"
"310350 ARAGUARI";"0";"64,61";"52,85";"120,09";"82,48";"92,36";"27,98";"94,97";"90,86";"96,35";"101,66";"98,95";"96,80";"87,21";"97,62";"91,75";"103,18";"93,82";"80,26";"85,22";"89,40";"93,54";"93,17";"59,63";"82,15"
"310360 ARANTINA";"0";"0";"0";"108,70";"65,22";"117,39";"30,43";"150,00";"76,47";"110,81";"117,24";"96,15";"67,57";"97,30";"105,41";"56,76";"112,50";"187,50";"106,67";"33,33";"42,86";"61,90";"63,16";"77,14";"74,10"
"310370 ARAPONGA";"0";"0";"36,46";"37,23";"77,59";"62,64";"28,16";"103,62";"105,30";"111,67";"111,01";"105,45";"105,41";"91,89";"76,58";"77,48";"164,47";"122,22";"89,89";"96,88";"84,38";"86,60";"103,57";"75,32";"72,11"
"310375 ARAPORA";"0";"46,67";"56,10";"96,80";"124,49";"72,00";"16,83";"134,25";"129,49";"65,04";"78,86";"80,16";"69,93";"88,11";"77,62";"62,24";"91,59";"71,56";"68,04";"75,61";"66,67";"100,00";"80,00";"80,87";"74,60"
"310380 ARAPUA";"0";"116,22";"124,32";"211,11";"127,78";"111,11";"11,43";"119,23";"132,00";"86,21";"123,33";"86,21";"144,44";"100,00";"81,48";"85,19";"231,25";"113,04";"238,46";"100,00";"90,91";"157,14";"129,41";"100,00";"110,54"
"310390 ARAUJOS";"0";"0";"68,91";"96,69";"81,72";"67,02";"11,58";"123,46";"100,00";"115,00";"135,62";"100,00";"110,00";"121,00";"91,00";"100,00";"126,53";"111,11";"67,05";"47,50";"65,00";"113,48";"106,38";"91,86";"82,87"
"310400 ARAXA";"0";"51,91";"57,88";"89,64";"237,51";"67,74";"16,30";"87,05";"97,67";"90,45";"119,56";"103,84";"111,71";"104,85";"103,26";"84,87";"105,89";"73,38";"80,15";"99,00";"83,94";"79,57";"69,22";"44,38";"84,80"
"310410 ARCEBURGO";"0";"47,15";"37,10";"80,80";"80,20";"73,53";"8,74";"164,62";"116,85";"150,63";"92,86";"176,92";"108,00";"95,20";"83,20";"99,20";"128,85";"84,95";"78,43";"126,14";"73,86";"143,55";"109,72";"104,55";"88,32"
"310420 ARCOS";"0";"71,37";"85,36";"93,35";"90,32";"65,77";"5,73";"90,62";"92,27";"95,12";"91,00";"80,37";"92,99";"90,95";"103,85";"102,04";"106,04";"88,54";"93,58";"95,75";"102,12";"106,35";"98,59";"78,99";"83,85"
"310430 AREADO";"0";"0";"36,63";"15,69";"90,40";"72,00";"0";"75,00";"105,73";"101,54";"93,81";"115,88";"79,23";"85,79";"97,27";"90,71";"156,25";"133,71";"92,05";"100,57";"95,40";"93,08";"98,71";"80,99";"77,53"
"310440 ARGIRITA";"0";"0";"75,51";"54,00";"76,32";"50,00";"13,16";"96,88";"138,71";"129,03";"129,03";"96,55";"212,50";"181,25";"150,00";"225,00";"131,25";"193,94";"150,00";"74,19";"112,90";"93,33";"129,17";"104,55";"93,57"
"310445 ARICANDUVA";"0";"0";"0";"43,06";"85,47";"71,19";"90,76";"72,97";"126,76";"91,21";"158,21";"93,24";"175,64";"73,08";"82,05";"78,21";"143,33";"113,04";"175,47";"83,33";"108,33";"100,00";"140,32";"78,95";"88,66"
"310450 ARINOS";"0";"61,90";"48,25";"81,05";"108,51";"98,71";"37,44";"100,29";"120,00";"111,25";"109,00";"128,41";"126,27";"130,93";"109,75";"135,17";"129,25";"89,82";"88,94";"105,53";"91,24";"110,05";"75,60";"57,29";"89,78"
"310460 ASTOLFO DUTRA";"0";"0";"57,06";"38,98";"75,60";"49,40";"37,28";"77,69";"98,16";"139,26";"213,76";"138,02";"93,15";"109,59";"109,59";"106,16";"140,13";"116,67";"99,34";"125,60";"111,20";"109,22";"95,28";"109,48";"88,63"
"310470 ATALEIA";"0";"0";"92,52";"25,16";"67,54";"35,53";"1,66";"69,40";"98,59";"130,82";"79,35";"78,95";"89,02";"93,90";"102,44";"79,88";"104,85";"61,08";"100,64";"76,51";"63,86";"76,52";"88,89";"74,24";"62,26"
"310480 AUGUSTO DE LIMA";"0";"60,67";"0";"65,12";"86,36";"50,57";"31,40";"79,75";"97,85";"114,93";"102,63";"95,77";"126,32";"124,56";"96,49";"80,70";"150,00";"81,03";"129,79";"82,26";"74,19";"101,96";"202,63";"131,43";"81,73"
"310490 BAEPENDI";"0";"0";"79,54";"18,09";"66,54";"86,35";"24,63";"73,45";"107,75";"111,79";"97,59";"110,92";"113,51";"99,55";"104,05";"86,94";"92,67";"103,53";"90,48";"115,88";"122,35";"101,00";"119,58";"102,89";"79,30"
"310500 BALDIM";"0";"0";"37,25";"34,67";"82,76";"73,28";"32,76";"108,08";"122,45";"113,27";"110,10";"110,99";"116,30";"107,61";"110,87";"117,39";"150,62";"110,47";"116,67";"88,68";"75,47";"80,00";"93,33";"82,61";"78,88"
"310510 BAMBUI";"0";"0";"87,61";"190,96";"96,58";"107,74";"31,08";"215,29";"121,54";"122,66";"100,44";"92,95";"100,42";"105,46";"94,96";"100,00";"107,33";"79,91";"87,61";"67,33";"80,48";"95,00";"79,06";"64,19";"91,28"
"310520 BANDEIRA";"0";"0";"0";"42,62";"47,57";"20,59";"20,79";"109,62";"167,92";"93,65";"128,07";"82,43";"138,30";"112,77";"138,30";"123,40";"117,65";"70,27";"177,27";"192,00";"164,00";"78,85";"127,03";"105,88";"77,48"
"310530 BANDEIRA DO SUL";"0";"0";"35,71";"13,95";"47,13";"67,05";"0";"93,44";"182,22";"120,37";"148,28";"172,73";"129,09";"114,55";"145,45";"158,18";"147,54";"126,39";"87,18";"130,00";"95,00";"142,86";"98,53";"116,13";"81,08"
"310540 BARAO DE COCAIS";"0";"0";"48,39";"71,20";"68,26";"58,35";"24,19";"69,21";"94,82";"106,22";"123,00";"81,76";"124,48";"104,17";"108,59";"100,26";"97,94";"131,45";"112,41";"74,89";"67,10";"75,18";"81,13";"72,35";"76,78"
"310550 BARAO DE MONTE ALTO";"0";"4,07";"3,25";"17,89";"79,55";"85,23";"62,50";"32,10";"152,75";"138,33";"92,98";"71,25";"125,00";"85,53";"82,89";"92,11";"146,55";"51,52";"216,67";"130,43";"117,39";"84,78";"128,21";"86,11";"72,42"
"310560 BARBACENA";"0";"0";"13,17";"43,93";"116,80";"58,34";"18,35";"56,85";"83,46";"106,88";"119,62";"126,97";"120,51";"111,10";"117,48";"99,73";"110,85";"88,12";"95,30";"96,28";"100,61";"103,52";"88,47";"74,68";"77,35"
"310570 BARRA LONGA";"0";"0";"43,80";"0";"61,38";"50,00";"23,57";"94,29";"89,04";"119,67";"112,00";"68,85";"78,57";"78,57";"135,71";"87,50";"137,93";"76,92";"115,56";"78,43";"101,96";"87,72";"78,85";"75,00";"61,71"
"310590 BARROSO";"0";"0";"55,50";"66,99";"94,22";"81,90";"16,24";"96,49";"102,67";"101,43";"109,29";"93,51";"135,94";"107,81";"94,92";"95,70";"72,69";"70,99";"94,21";"74,51";"76,08";"95,61";"79,41";"65,14";"74,56"
"310600 BELA VISTA DE MINAS";"0";"0";"15,96";"54,88";"83,61";"64,13";"41,85";"87,42";"117,65";"79,14";"106,40";"88,64";"109,87";"84,21";"81,58";"79,61";"132,50";"123,81";"87,90";"77,70";"77,70";"56,06";"79,83";"74,31";"69,66"
"310610 BELMIRO BRAGA";"0";"0";"108,33";"0";"40,98";"25,00";"49,15";"66,67";"87,50";"163,16";"72,34";"116,13";"100,00";"85,29";"152,94";"88,24";"140,62";"104,76";"117,65";"117,65";"61,76";"140,74";"113,33";"53,57";"73,76"
"310620 BELO HORIZONTE";"0";"1,51";"82,19";"31,21";"95,95";"49,16";"21,64";"83,18";"92,38";"93,33";"97,89";"93,72";"95,92";"88,51";"92,99";"93,32";"91,48";"0,09";"81,26";"87,50";"79,08";"94,14";"80,82";"77,92";"69,80"
"310630 BELO ORIENTE";"0";"0";"84,57";"32,84";"83,58";"95,33";"34,47";"160,87";"129,94";"136,53";"124,77";"101,14";"135,63";"112,07";"118,39";"113,51";"128,34";"132,49";"92,75";"89,12";"77,65";"89,56";"104,61";"93,91";"89,99"
"310640 BELO VALE";"0";"0";"0";"0";"52,73";"61,82";"9,01";"105,62";"130,67";"90,91";"127,94";"71,05";"120,22";"93,26";"82,02";"74,16";"116,22";"120,99";"118,39";"97,78";"102,22";"98,97";"68,81";"45,00";"69,96"
"310650 BERILO";"0";"0";"0";"9,06";"82,31";"57,14";"43,41";"80,92";"117,71";"197,98";"108,98";"93,51";"113,74";"76,34";"82,44";"134,35";"69,34";"96,05";"100,00";"57,26";"64,10";"81,18";"79,76";"85,71";"60,62"
"310660 BERTOPOLIS";"5,95";"14,63";"220,00";"12,66";"52,48";"57,00";"22,22";"109,33";"102,63";"171,67";"93,33";"84,31";"102,80";"91,59";"73,83";"50,47";"103,70";"90,82";"105,62";"81,25";"43,75";"97,26";"93,98";"69,74";"79,05"
"310665 BERIZAL";"0";"0";"51,39";"52,11";"77,22";"75,00";"37,04";"118,07";"113,70";"87,50";"157,69";"88,71";"107,94";"101,59";"119,05";"106,35";"83,12";"127,27";"76,27";"97,73";"75,00";"88,64";"110,71";"94,12";"82,68"
"310670 BETIM";"0";"0";"56,73";"21,83";"75,45";"63,16";"16,10";"88,28";"95,29";"98,83";"92,19";"77,98";"94,97";"88,21";"98,10";"98,59";"91,89";"91,77";"88,67";"60,83";"62,15";"89,45";"90,76";"64,31";"69,43"
"310680 BIAS FORTES";"0";"0";"0";"0";"63,93";"55,74";"6,67";"135,56";"107,27";"253,85";"144,00";"89,19";"100,00";"126,47";"108,82";"105,88";"142,86";"167,57";"93,75";"74,07";"125,93";"150,00";"119,23";"58,33";"70,60"
"310690 BICAS";"0";"0";"46,97";"0";"87,36";"97,28";"5,91";"128,67";"96,92";"84,43";"101,29";"143,50";"133,33";"126,53";"137,41";"103,40";"80,51";"145,10";"66,85";"79,71";"110,87";"113,04";"99,32";"107,41";"82,94"
"310700 BIQUINHAS";"0";"65,85";"0";"56,41";"38,30";"38,30";"38,30";"150,00";"91,30";"131,58";"65,38";"126,32";"171,43";"100,00";"135,71";"178,57";"200,00";"85,71";"108,00";"92,86";"85,71";"113,04";"105,56";"82,35";"76,39"
"310710 BOA ESPERANCA";"0";"73,82";"70,50";"84,27";"71,53";"66,76";"16,92";"87,77";"85,94";"91,36";"97,01";"95,19";"99,19";"98,98";"101,83";"101,83";"99,81";"96,85";"95,14";"97,50";"103,85";"89,95";"103,93";"92,24";"81,58"
"310720 BOCAINA DE MINAS";"0";"0";"46,74";"24,73";"67,07";"47,56";"28,05";"88,46";"206,06";"190,00";"127,59";"118,18";"165,22";"134,78";"117,39";"91,30";"92,31";"77,50";"176,00";"127,27";"95,45";"97,06";"74,36";"52,78";"70,00"
"310730 BOCAIUVA";"0";"106,53";"38,08";"87,78";"63,68";"98,55";"14,35";"79,47";"109,18";"108,97";"106,70";"100,95";"102,21";"95,00";"102,35";"108,09";"101,17";"88,75";"106,47";"87,32";"88,33";"96,36";"58,00";"21,64";"81,18"
"310740 BOM DESPACHO";"0";"0";"86,53";"88,79";"125,51";"71,63";"16,41";"84,77";"106,49";"105,30";"95,00";"94,13";"96,08";"91,50";"108,17";"94,77";"102,01";"95,47";"105,11";"95,25";"114,08";"101,52";"97,61";"73,78";"84,42"
"310750 BOM JARDIM DE MINAS";"0";"0";"49,22";"38,93";"97,39";"78,26";"2,59";"92,77";"125,33";"121,95";"110,00";"174,63";"120,55";"149,32";"116,44";"117,81";"120,00";"102,67";"160,87";"111,27";"125,35";"81,71";"97,10";"49,21";"84,16"
"310760 BOM JESUS DA PENHA";"0";"93,44";"101,61";"46,03";"110,17";"88,33";"26,23";"168,09";"89,66";"121,74";"126,19";"192,00";"133,33";"140,00";"136,67";"156,67";"152,00";"101,59";"113,89";"80,00";"233,33";"164,00";"124,32";"88,24";"107,47"
