"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"2012";"24,78";"16,38";"24,08";"28,56";"14,79";"15,78";"36,25";"23,82";"22,76";"27,48";"16,78";"29,20";"24,89";"29,00";"24,46";"6,05";"27,81";"32,91";"31,08";"23,96";"22,07";"33,14";"35,19";"30,29";"22,58";"40,88";"31,51";"24,89"
"2013";"96,22";"81,54";"84,77";"82,63";"87,89";"90,56";"98,05";"96,48";"90,16";"98,03";"86,89";"97,61";"96,17";"91,24";"98,97";"84,18";"102,21";"97,27";"92,30";"97,23";"101,94";"97,18";"101,01";"110,67";"95,84";"105,57";"102,86";"95,89"
"2014";"105,72";"64,83";"89,71";"86,70";"83,20";"78,05";"93,92";"89,15";"82,53";"98,92";"89,42";"93,18";"98,44";"90,23";"94,02";"91,79";"98,75";"99,96";"94,32";"95,46";"99,07";"98,39";"94,81";"128,18";"101,47";"93,88";"92,60";"94,85"
"2015";"104,54";"81,24";"94,61";"96,71";"73,13";"84,65";"98,70";"91,67";"82,04";"106,69";"90,58";"93,55";"103,59";"91,40";"93,93";"92,98";"100,70";"99,62";"99,31";"98,36";"101,26";"104,63";"91,28";"117,87";"101,73";"94,87";"66,43";"96,30"
"2016";"103,31";"74,92";"82,35";"91,68";"67,08";"92,84";"88,14";"73,12";"78,98";"111,47";"76,32";"87,54";"94,29";"84,74";"81,78";"76,86";"93,25";"92,14";"96,70";"88,48";"91,58";"97,64";"88,27";"98,98";"95,42";"84,89";"140,25";"89,27"
"2017";"108,92";"72,57";"75,96";"94,24";"61,60";"60,22";"85,76";"73,67";"76,08";"96,91";"68,99";"82,44";"85,96";"82,29";"80,02";"76,99";"87,32";"82,26";"93,49";"87,18";"90,66";"88,87";"83,74";"92,79";"85,03";"78,63";"84,69";"84,24"
"2018";"99,94";"70,66";"79,36";"83,52";"58,04";"63,09";"90,04";"80,63";"85,95";"107,76";"89,42";"91,60";"94,65";"98,44";"91,47";"77,24";"98,05";"89,83";"88,16";"91,57";"90,90";"94,28";"84,97";"94,80";"89,17";"83,77";"86,26";"88,49"
"2019";"89,66";"76,42";"78,58";"64,39";"62,38";"52,67";"76,38";"58,46";"68,15";"80,05";"68,87";"82,19";"73,69";"79,12";"76,81";"66,89";"74,36";"66,36";"55,15";"72,10";"79,03";"71,98";"71,77";"85,70";"72,52";"64,00";"69,95";"70,76"
"2020";"76,46";"54,60";"56,99";"64,92";"45,94";"31,70";"76,99";"40,50";"51,16";"70,13";"57,20";"62,31";"59,64";"65,27";"61,65";"57,05";"76,30";"75,87";"47,92";"78,44";"73,89";"71,72";"73,98";"69,96";"66,69";"64,54";"83,06";"66,13"
"Total";"90,34";"66,12";"74,38";"77,55";"61,64";"64,05";"82,64";"69,82";"70,70";"88,53";"71,49";"79,85";"81,48";"78,80";"78,10";"69,77";"84,54";"82,01";"78,18";"81,61";"83,72";"84,54";"80,83";"92,52";"81,66";"79,23";"84,21";"79,16"
