"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"2010";"23,46";"4,86";"7,59";"23,38";"0,69";"4,55";"35,85";"0,92";"0,35";"1,50";"19,07";"31,16";"29,05";"6,65";"35,70";"2,83";"49,93";"44,66";"1,97";"42,00";"35,36";"56,53";"14,62";"32,82";"9,42";"19,05";"29,88";"24,02"
"2011";"90,78";"50,85";"61,39";"74,13";"46,31";"61,79";"94,29";"50,76";"78,36";"81,64";"80,39";"82,86";"92,70";"67,98";"94,00";"66,46";"101,25";"106,20";"69,43";"86,63";"94,19";"102,77";"92,79";"89,78";"74,48";"99,83";"74,72";"81,65"
"2012";"97,54";"69,66";"75,35";"78,57";"72,39";"75,59";"92,97";"76,27";"91,87";"89,96";"88,47";"83,48";"95,20";"82,50";"94,97";"83,99";"98,66";"100,49";"80,27";"89,55";"94,94";"100,71";"89,57";"96,14";"88,58";"95,85";"81,75";"88,39"
"2013";"94,60";"69,00";"75,57";"79,81";"77,96";"77,89";"93,87";"86,20";"90,25";"93,23";"85,26";"93,34";"93,30";"85,19";"97,45";"89,21";"104,69";"98,41";"85,26";"95,81";"103,42";"99,42";"98,36";"111,82";"93,58";"101,42";"101,52";"93,57"
"2014";"103,92";"60,90";"78,30";"81,12";"70,33";"67,78";"90,64";"81,40";"81,81";"98,37";"85,67";"89,96";"94,58";"87,82";"93,24";"87,91";"97,91";"99,61";"88,74";"100,63";"99,72";"100,22";"94,39";"125,87";"95,50";"93,13";"102,41";"93,45"
"2015";"104,68";"72,48";"84,54";"89,86";"60,36";"69,18";"93,92";"84,05";"82,38";"106,34";"89,02";"92,05";"101,07";"88,29";"92,94";"90,24";"100,89";"99,93";"94,10";"99,93";"101,22";"106,09";"90,52";"117,25";"97,53";"89,88";"69,91";"94,23"
"2016";"104,22";"84,98";"88,36";"100,64";"75,72";"103,85";"97,31";"80,74";"82,49";"119,75";"84,42";"93,52";"100,13";"94,37";"87,71";"79,58";"95,71";"95,64";"107,63";"93,58";"95,22";"103,02";"94,30";"103,30";"99,64";"91,78";"140,73";"95,00"
"2017";"107,68";"84,66";"86,72";"99,84";"76,80";"72,65";"93,17";"83,86";"85,46";"109,36";"76,73";"91,12";"91,78";"92,97";"87,19";"85,61";"92,74";"90,15";"97,21";"95,85";"95,06";"95,43";"91,27";"99,33";"91,19";"88,23";"89,31";"92,15"
"2018";"103,21";"89,64";"90,04";"93,27";"78,83";"78,47";"100,71";"89,43";"88,81";"120,59";"94,52";"100,71";"101,48";"104,33";"96,94";"84,20";"102,17";"96,32";"94,12";"95,95";"94,48";"93,10";"91,68";"101,95";"97,50";"91,75";"91,45";"95,25"
"2019";"102,44";"91,53";"92,51";"90,26";"82,14";"84,90";"94,02";"84,13";"86,74";"98,85";"89,32";"99,90";"90,14";"94,73";"84,73";"79,56";"91,88";"91,76";"78,40";"89,81";"92,38";"97,88";"89,64";"98,17";"90,58";"86,99";"88,06";"89,07"
"2020";"80,84";"62,37";"74,39";"73,87";"59,24";"41,11";"78,71";"57,36";"69,33";"82,33";"67,28";"70,41";"68,12";"69,01";"63,03";"64,97";"78,56";"74,96";"53,10";"73,39";"78,23";"79,95";"77,42";"75,90";"79,77";"74,01";"80,03";"71,06"
"Total";"92,44";"67,26";"74,35";"81,31";"63,64";"67,87";"87,77";"70,05";"75,90";"90,85";"78,07";"84,26";"87,16";"78,87";"84,43";"73,78";"92,37";"90,89";"77,87";"87,78";"89,71";"94,28";"84,35";"96,07";"84,19";"85,03";"86,42";"83,60"
