 Acompanhamento dos dados de Hanseníase - BRASIL
Frequência por Ano Diagnóstico e Mes Diagnóstico
Período:2001-2019
"Ano Diagnóstico";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"<1975";28;8;12;14;14;17;17;14;12;23;21;21;201
"1975";-;1;-;-;-;-;-;-;-;-;-;1;2
"1976";-;-;-;2;1;2;-;-;2;-;1;-;8
"1977";2;-;-;1;-;-;-;-;-;1;1;-;5
"1978";-;-;-;-;-;2;1;2;-;1;-;-;6
"1979";2;1;1;-;-;1;3;3;2;3;-;-;16
"1980";2;-;3;2;-;1;-;1;2;1;2;-;14
"1981";2;2;1;1;1;2;-;-;1;3;-;-;13
"1982";2;-;-;1;2;1;-;-;-;1;-;1;8
"1983";4;-;4;-;1;-;-;2;2;1;1;2;17
"1984";-;3;1;2;-;2;2;1;-;2;-;-;13
"1985";1;-;2;1;-;1;-;1;1;-;-;2;9
"1986";-;-;1;1;1;-;2;2;1;1;2;-;11
"1987";1;-;-;1;1;-;5;1;3;1;2;1;16
"1988";3;-;-;1;-;5;4;3;2;4;3;2;27
"1989";1;3;2;2;-;4;2;3;1;7;1;2;28
"1990";7;-;5;-;2;2;1;5;1;2;2;5;32
"1991";3;3;4;3;4;3;4;4;1;3;3;3;38
"1992";8;4;6;1;7;3;2;2;4;7;6;2;52
"1993";2;6;6;1;4;3;7;3;5;6;3;5;51
"1994";8;3;4;4;5;7;5;2;10;10;7;2;67
"1995";13;2;5;4;9;9;11;7;10;2;10;8;90
"1996";8;13;17;28;12;20;14;13;12;20;10;12;179
"1997";20;15;13;14;17;21;24;15;28;18;25;18;228
"1998";34;19;24;26;36;23;27;23;31;40;22;22;327
"1999";56;35;51;49;79;58;59;74;73;88;60;76;758
"2000";189;188;148;124;143;177;141;228;218;305;370;610;2841
"2001";4107;4103;4787;4135;4724;3940;4116;4890;4035;4728;4197;3250;51012
"2002";3982;4065;4566;5027;4663;4488;4971;5281;4805;5151;4679;3545;55223
"2003";4127;5918;5555;4965;5013;4476;4655;4844;5249;5257;4737;3874;58670
"2004";4168;4169;5612;4557;5440;5299;4975;5640;4825;4233;4520;3925;57363
"2005";4078;4241;4998;4628;4706;4559;4154;5457;4853;5196;5008;4209;56087
"2006";4448;4520;5168;3865;4488;3868;3937;4868;4012;4289;4206;3399;51068
"2007";3999;3747;4708;3740;4161;3621;3959;4482;3810;4456;3849;3234;47766
"2008";3712;3642;3781;4246;3635;3938;4498;4772;4472;4059;3716;3052;47523
"2009";3489;3875;4584;3625;3786;3562;3813;4070;3775;3598;3750;2950;44877
"2010";3199;3340;4254;3548;3969;3333;3370;3947;3522;3490;3605;2928;42505
"2011";3089;3960;3695;3258;3844;3387;3072;3914;3495;3292;3500;2886;41392
"2012";3179;3611;4209;3561;3951;3242;3311;3699;3178;3348;2991;2367;40647
"2013";2866;2744;3068;3544;3318;3011;3197;3555;3486;3467;3164;2669;38089
"2014";3112;3480;2903;3186;3387;2770;3218;3441;3654;3525;3099;2647;38422
"2015";2729;2969;3476;2930;3017;2969;3018;3244;3241;3075;2819;2412;35899
"2016";2393;2540;3000;2702;2616;2957;2603;3113;2881;2644;2528;2213;32190
"2017";2585;2718;3162;2557;3243;2806;2739;3288;2856;3275;2961;2448;34638
"2018";2971;2877;3276;3157;3237;2913;2976;3644;3274;3423;2909;2268;36925
"2019";3105;3319;2804;3037;3047;2567;2856;3107;3060;3137;2715;1886;34640
"Total";65734;70144;77916;70551;74584;68070;69769;79665;72905;74193;69505;56957;849993
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Excluídos casos não residentes no Brasil.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para tabular os dados de hanseníase pode ser acessado o Caderno de Análise, pelo link:http://portalsinan.saude.gov.br/hanseniase.
 Os bancos de dados de 2001 a 2019 são bancos brutos, não receberam nenhum tratamento, nem foram consolidados, por tanto os dados aqui disponíveis podem apresentar diferenças em relação aos boletins epidemiológicos e outras publicações de hanseníase.
 As bases de dados de 2017 a 2019 ainda podem receber atualizações na notificação de casos.
 *Dados disponibilizados no TABNET em 10/2020
 
