data de publicação,UF,Unidade da Federação,Tipo,dado,escala,sexo,Ano epidemiológico,Semana epidemiológica,Ano e semana epidemiológica,Situação do dado,Casos semanais reportados até a última atualização,Idade desconhecida,< 2 anos,0-4 anos,10-19 anos,2-4 anos,20-29 anos,30-39 anos,40-49 anos,5-9 anos,50-59 anos,60+ anos,Testes positivos,Testes negativos,Casos aguardando resultado,Casos sem informação laboratorial,Casos sem teste laboratorial,Resultado inconclusivo,Influenza A,Influenza B,SARS-CoV-2,Vírus sincicial respiratório (VSR),Parainfluenza 1,Parainfluenza 2,Parainfluenza 3,Adenovirus
2020-11-24,0,Brasil,País,obito,casos,Total,2020,1,2020W01,Dado estável. Sujeito a pequenas alterações.,55.0,0.0,8.0,,4.0,1.0,5.0,2.0,4.0,1.0,6.0,24.0,9.0,34.0,3.0,1.0,8.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
2020-11-24,0,Brasil,País,obito,casos,Total,2020,2,2020W02,Dado estável. Sujeito a pequenas alterações.,63.0,0.0,4.0,,3.0,1.0,6.0,3.0,10.0,2.0,6.0,28.0,9.0,41.0,1.0,3.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-11-24,0,Brasil,País,obito,casos,Total,2020,3,2020W03,Dado estável. Sujeito a pequenas alterações.,67.0,0.0,8.0,,2.0,1.0,7.0,5.0,4.0,1.0,7.0,32.0,9.0,46.0,2.0,1.0,9.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-11-24,0,Brasil,País,obito,casos,Total,2020,4,2020W04,Dado estável. Sujeito a pequenas alterações.,69.0,0.0,5.0,,3.0,1.0,3.0,6.0,7.0,0.0,10.0,34.0,12.0,43.0,1.0,2.0,11.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obito,casos,Total,2020,5,2020W05,Dado estável. Sujeito a pequenas alterações.,71.0,0.0,5.0,,0.0,2.0,3.0,3.0,3.0,1.0,17.0,37.0,7.0,51.0,1.0,1.0,11.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-11-24,0,Brasil,País,obito,casos,Total,2020,6,2020W06,Dado estável. Sujeito a pequenas alterações.,59.0,0.0,0.0,,1.0,3.0,1.0,3.0,10.0,1.0,7.0,33.0,9.0,39.0,2.0,0.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-11-24,0,Brasil,País,obito,casos,Total,2020,7,2020W07,Dado estável. Sujeito a pequenas alterações.,73.0,0.0,7.0,,3.0,3.0,3.0,4.0,6.0,2.0,12.0,33.0,17.0,46.0,1.0,1.0,8.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-11-24,0,Brasil,País,obito,casos,Total,2020,8,2020W08,Dado estável. Sujeito a pequenas alterações.,112.0,0.0,6.0,,5.0,4.0,11.0,7.0,14.0,3.0,16.0,46.0,11.0,72.0,4.0,1.0,24.0,0.0,1.0,2.0,6.0,1.0,0.0,0.0,1.0,0.0
2020-11-24,0,Brasil,País,obito,casos,Total,2020,9,2020W09,Dado estável. Sujeito a pequenas alterações.,121.0,0.0,10.0,,5.0,3.0,6.0,2.0,9.0,0.0,21.0,65.0,37.0,64.0,6.0,0.0,13.0,1.0,14.0,1.0,13.0,1.0,0.0,0.0,0.0,2.0
2020-11-24,0,Brasil,País,obito,casos,Total,2020,10,2020W10,Dado estável. Sujeito a pequenas alterações.,308.0,0.0,18.0,,6.0,7.0,8.0,18.0,23.0,2.0,34.0,192.0,121.0,144.0,8.0,2.0,32.0,1.0,14.0,9.0,88.0,2.0,0.0,0.0,0.0,0.0
2020-11-24,0,Brasil,País,obito,casos,Total,2020,11,2020W11,Dado estável. Sujeito a pequenas alterações.,797.0,0.0,22.0,,10.0,10.0,16.0,50.0,71.0,2.0,105.0,511.0,350.0,392.0,18.0,5.0,30.0,2.0,34.0,5.0,288.0,6.0,2.0,0.0,0.0,2.0
2020-11-24,0,Brasil,País,obito,casos,Total,2020,12,2020W12,Dado estável. Sujeito a pequenas alterações.,2336.0,0.0,44.0,,21.0,8.0,62.0,146.0,190.0,3.0,304.0,1558.0,1018.0,1141.0,66.0,17.0,88.0,6.0,47.0,10.0,932.0,6.0,2.0,0.0,2.0,3.0
2020-11-24,0,Brasil,País,obito,casos,Total,2020,13,2020W13,Dado estável. Sujeito a pequenas alterações.,3519.0,0.0,44.0,,28.0,19.0,54.0,147.0,296.0,11.0,515.0,2405.0,1594.0,1667.0,93.0,27.0,133.0,5.0,25.0,11.0,1523.0,5.0,0.0,0.0,3.0,8.0
2020-11-24,0,Brasil,País,obito,casos,Total,2020,14,2020W14,Dado estável. Sujeito a pequenas alterações.,4553.0,0.0,47.0,,27.0,10.0,75.0,217.0,377.0,7.0,637.0,3156.0,2343.0,1786.0,145.0,52.0,206.0,21.0,12.0,6.0,2307.0,1.0,2.0,0.0,0.0,1.0
2020-11-24,0,Brasil,País,obito,casos,Total,2020,15,2020W15,Dado estável. Sujeito a pequenas alterações.,5934.0,0.0,46.0,,34.0,7.0,95.0,243.0,524.0,4.0,814.0,4167.0,3356.0,1907.0,174.0,119.0,360.0,18.0,7.0,4.0,3324.0,3.0,1.0,0.0,2.0,3.0
2020-11-24,0,Brasil,País,obito,casos,Total,2020,16,2020W16,Dado estável. Sujeito a pequenas alterações.,8023.0,0.0,45.0,,44.0,13.0,102.0,341.0,661.0,7.0,1170.0,5640.0,4907.0,1989.0,277.0,191.0,628.0,31.0,5.0,1.0,4887.0,2.0,0.0,1.0,0.0,1.0
