"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"1994";"8,29";"0";"7,55";"3,70";"5,36";"0";"0";"33,62";"0,01";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,12";"0";"0";"5,70";"2,21";"0";"5,27"
"1995";"49,44";"63,59";"16,68";"33,29";"12,84";"0,04";"0";"41,82";"0,17";"0";"0,00";"0";"0,00";"0";"0";"0";"0";"0,02";"0";"0";"0,07";"0,00";"0";"0";"18,66";"10,10";"0";"4,81"
"1996";"66,06";"30,00";"69,11";"46,30";"17,94";"4,42";"25,53";"10,81";"1,15";"0";"0";"0";"0,00";"0";"0";"0,00";"0";"0";"0,08";"0";"0,02";"0,01";"0";"34,01";"18,02";"21,46";"0,92";"5,65"
"1997";"97,43";"85,83";"74,31";"53,11";"29,26";"10,54";"60,35";"18,40";"0,69";"0";"0,49";"0";"0,07";"0,11";"0";"0,03";"0,29";"2,32";"0,06";"0";"0,27";"0,03";"0,02";"51,61";"29,89";"31,83";"4,02";"7,84"
"1998";"115,31";"73,51";"108,21";"112,89";"80,62";"93,36";"87,81";"76,33";"1,27";"0,63";"0,49";"0,12";"0,18";"0,01";"0,02";"0,83";"14,57";"0,03";"0,03";"5,25";"0,03";"0,21";"0,51";"70,34";"70,74";"59,51";"3,46";"18,49"
"1999";"103,35";"99,23";"93,87";"98,09";"92,57";"94,50";"102,84";"77,45";"11,97";"14,27";"1,28";"1,61";"0,44";"1,52";"0,00";"36,07";"56,51";"0,06";"0,25";"11,98";"0,19";"0,17";"0,18";"87,28";"76,55";"74,20";"6,77";"29,06"
"2000";"113,63";"90,06";"100,65";"141,29";"85,95";"92,80";"100,65";"99,63";"68,88";"27,21";"3,66";"0,28";"9,01";"1,35";"10,14";"77,05";"46,58";"45,99";"5,30";"8,55";"0,32";"0,56";"0,33";"109,76";"111,47";"143,05";"5,65";"37,14"
"2001";"114,25";"102,46";"98,87";"92,32";"100,19";"178,09";"106,25";"93,76";"61,18";"5,38";"2,73";"0,41";"7,78";"0,27";"3,38";"88,06";"83,62";"21,89";"1,69";"7,36";"0,25";"3,22";"1,96";"109,36";"110,61";"101,72";"0,65";"40,24"
"2002";"100,23";"101,18";"89,94";"103,89";"95,47";"98,99";"108,59";"98,70";"81,73";"0,77";"1,76";"0,11";"8,11";"0,15";"0,29";"87,18";"68,62";"4,13";"0,38";"8,70";"0,50";"4,95";"3,45";"107,73";"106,44";"102,41";"0,20";"38,70"
"2003";"93,86";"95,36";"84,35";"96,17";"99,85";"97,89";"101,33";"97,72";"85,48";"0,17";"2,01";"0,30";"8,57";"0,03";"0,43";"88,79";"20,26";"5,97";"0,47";"10,08";"0,17";"8,66";"4,55";"106,29";"104,10";"99,84";"0,72";"34,68"
"2004";"75,87";"69,08";"73,50";"71,01";"92,78";"74,56";"85,29";"91,87";"93,78";"0,09";"1,23";"0,33";"8,77";"0,05";"0";"99,30";"86,37";"26,66";"0,32";"10,17";"0,15";"9,55";"4,76";"73,40";"81,45";"91,07";"0,21";"38,29"
"2005";"105,13";"79,37";"89,07";"95,09";"103,10";"90,31";"99,84";"102,16";"94,41";"0,08";"1,34";"0,26";"1,21";"0,07";"0,01";"103,64";"101,79";"34,60";"0,34";"10,50";"0,22";"9,28";"5,17";"93,86";"100,02";"104,93";"0,09";"42,95"
"2006";"119,70";"83,81";"92,13";"90,78";"98,62";"85,89";"100,70";"106,79";"99,73";"0,31";"0,94";"0,34";"0,33";"0,13";"0,04";"103,70";"102,50";"36,40";"0,22";"11,50";"42,28";"9,03";"4,91";"99,21";"105,44";"109,79";"1,60";"46,17"
"2007";"114,96";"97,63";"97,76";"95,97";"107,84";"87,97";"102,65";"114,12";"103,72";"0,15";"0,61";"0,44";"0,36";"0,23";"0,05";"101,18";"102,77";"35,94";"0,32";"11,82";"77,08";"9,19";"5,27";"100,93";"110,13";"114,92";"3,11";"49,23"
